Model,Metric,Fold,Score
Naive Bayes,Recall,1,0.735308 
Naive Bayes,Recall,2,0.739875 
Naive Bayes,Recall,3,0.733334 
Naive Bayes,Recall,4,0.735044 
Naive Bayes,Recall,5,0.733409 
Naive Bayes,Recall,6,0.734002 
Naive Bayes,Recall,7,0.732047 
Naive Bayes,Recall,8,0.731938 
Naive Bayes,Recall,9,0.735211 
Naive Bayes,Recall,10,0.738675 
Naive Bayes,Recall,Mean,0.734884
Naive Bayes,F1-Score,1,0.736271
Naive Bayes,F1-Score,2,0.737941
Naive Bayes,F1-Score,3,0.735141
Naive Bayes,F1-Score,4,0.735173
Naive Bayes,F1-Score,5,0.734726
Naive Bayes,F1-Score,6,0.734051
Naive Bayes,F1-Score,7,0.733139
Naive Bayes,F1-Score,8,0.732966
Naive Bayes,F1-Score,9,0.735383
Naive Bayes,F1-Score,10,0.737610
Naive Bayes,F1-Score,Mean,0.735240
KNN,Accuracy,1,0.974044 
KNN,Accuracy,2,0.974150 
KNN,Accuracy,3,0.974256 
KNN,Accuracy,4,0.975349 
KNN,Accuracy,5,0.975349 
KNN,Accuracy,6,0.973551 
KNN,Accuracy,7,0.974291 
KNN,Accuracy,8,0.973868 
KNN,Accuracy,9,0.974008 
KNN,Accuracy,10,0.973726 
KNN,Accuracy,Mean,0.974259
KNN,Precision,1,0.899230 
KNN,Precision,2,0.899551 
KNN,Precision,3,0.899929 
KNN,Precision,4,0.903687 
KNN,Precision,5,0.903771 
KNN,Precision,6,0.898053 
KNN,Precision,7,0.900820 
KNN,Precision,8,0.899094 
KNN,Precision,9,0.899029 
KNN,Precision,10,0.897348 
KNN,Precision,Mean,0.900051
KNN,Recall,1,0.913613 
KNN,Recall,2,0.914488 
KNN,Recall,3,0.917166 
KNN,Recall,4,0.921183 
KNN,Recall,5,0.923563 
KNN,Recall,6,0.915743 
KNN,Recall,7,0.915344 
KNN,Recall,8,0.916312 
KNN,Recall,9,0.915210 
KNN,Recall,10,0.913813 
KNN,Recall,Mean,0.916643
KNN,F1-Score,1,0.905298
KNN,F1-Score,2,0.905753
KNN,F1-Score,3,0.906971
KNN,F1-Score,4,0.910985
KNN,F1-Score,5,0.911810
KNN,F1-Score,6,0.905223
KNN,F1-Score,7,0.907061
KNN,F1-Score,8,0.906470
KNN,F1-Score,9,0.905835
KNN,F1-Score,10,0.904189
KNN,F1-Score,Mean,0.906960
