Model,Metric,Fold,Score
Naive Bayes,Recall,1,0.966699 
Naive Bayes,Recall,2,0.977739 
Naive Bayes,Recall,3,0.973061 
Naive Bayes,Recall,4,0.969944 
Naive Bayes,Recall,5,0.977327 
Naive Bayes,Recall,6,0.968023 
Naive Bayes,Recall,7,0.967106 
Naive Bayes,Recall,8,0.970511 
Naive Bayes,Recall,9,0.968994 
Naive Bayes,Recall,10,0.969841 
Naive Bayes,Recall,Mean,0.970924
Naive Bayes,F1-Score,1,0.972425
Naive Bayes,F1-Score,2,0.981440
Naive Bayes,F1-Score,3,0.977771
Naive Bayes,F1-Score,4,0.975328
Naive Bayes,F1-Score,5,0.981083
Naive Bayes,F1-Score,6,0.973766
Naive Bayes,F1-Score,7,0.973080
Naive Bayes,F1-Score,8,0.975508
Naive Bayes,F1-Score,9,0.974529
Naive Bayes,F1-Score,10,0.974911
Naive Bayes,F1-Score,Mean,0.975984
KNN,Accuracy,1,0.999577 
KNN,Accuracy,2,0.999259 
KNN,Accuracy,3,0.999506 
KNN,Accuracy,4,0.999506 
KNN,Accuracy,5,0.999400 
KNN,Accuracy,6,0.999400 
KNN,Accuracy,7,0.999224 
KNN,Accuracy,8,0.999224 
KNN,Accuracy,9,0.999365 
KNN,Accuracy,10,0.999259 
KNN,Accuracy,Mean,0.999372
KNN,Precision,1,0.999411 
KNN,Precision,2,0.998977 
KNN,Precision,3,0.999333 
KNN,Precision,4,0.999357 
KNN,Precision,5,0.999228 
KNN,Precision,6,0.999252 
KNN,Precision,7,0.999021 
KNN,Precision,8,0.998902 
KNN,Precision,9,0.999177 
KNN,Precision,10,0.999025 
KNN,Precision,Mean,0.999169
KNN,Recall,1,0.999653 
KNN,Recall,2,0.999386 
KNN,Recall,3,0.999575 
KNN,Recall,4,0.999551 
KNN,Recall,5,0.999446 
KNN,Recall,6,0.999421 
KNN,Recall,7,0.999263 
KNN,Recall,8,0.999384 
KNN,Recall,9,0.999419 
KNN,Recall,10,0.999338 
KNN,Recall,Mean,0.999443
KNN,F1-Score,1,0.999532
KNN,F1-Score,2,0.999181
KNN,F1-Score,3,0.999454
KNN,F1-Score,4,0.999454
KNN,F1-Score,5,0.999337
KNN,F1-Score,6,0.999337
KNN,F1-Score,7,0.999142
KNN,F1-Score,8,0.999142
KNN,F1-Score,9,0.999298
KNN,F1-Score,10,0.999181
KNN,F1-Score,Mean,0.999306
